scheme_code,subscheme_code,subscheme_desc,form_fields
1,1,Fatall Accident Relief(Accidental Death),Alo Circle No | Renewed Up to | Challan No. Date | Amount | 1. Name of the deceased Construction Worker | a) Date Of death | b) Place Of death | State | District | c)Cause of Death or Accidental Death | d) Name of the Police Station | 2) Name of the authority issued the death certificate | 3) Name of the authority issued FIR Copy | 4) Authority issued FIR Copy Date | 5) Name  of the authority issued Postmarturm report | 6) Authority issued Postmarturm report Date | 7) Name of the person applied for the benifit of the scheme | a) Age | b) Address | c) Phone No. | 8) Relationship with the deceased worker | 9) Bank Account No. | a) Name of the bank | b) Name of the branch | c) IFSC Code | Regn card under BOCW Act(Original copy) | Renewal Challan Copy | Advanced stamped receipt | 1st page of  Bank Pass Book(Attested Copy) | FIR  issued by the PoliceStation(Attested Copy) | Postmortum Report | Death Certificate | Enquiry Report of ALO | Copy of House Hold Card | Aadhar Card Xerox | Form No. XXVII in original | Nominee Details | Application of the beneficiary | Panchanama Report | Funeral Application | Beneficiary Aadhar ID | Worker Aadhar ID
2,1,Total Permanent Disability,Alo Circle No | Renewed Up to | Challan No. Date | Amount | 1. Name of the Construction worker(Applicant) | 2. Date Of Accident | 3. Place & address of the accident | State | District | 4. Cause Of the Accident | 5. Name  of the authority issued FIR Copy | 6. Authority issued FIR Copy  Date | 7. Name of the authority issued disability certificate | a) Percentage of disability | 8. Bank Account No. | a) Name of the bank | b) Name of the branch | c) IFSC Code | Regn card under BOCW Act(Attested copy) | Renewal Challan Copy | Advanced stamped receipt | 1st page of  Bank Pass Book(Attested Copy) | Disability certificate | Enquiry Report of ALO | Copy of house hold card | Copy of aadhar card | Application of the beneficiary | FIR Copy | Applicant Mobile No. | Beneficiary Aadhar ID | Worker Aadhar ID
2,2,50% & above Partial Permanent,Alo Circle No | Renewed Up to | Challan No. Date | Amount | 1. Name of the Construction worker(Applicant) | 2. Date Of Accident | 3. Place & address of the accident | State | District | 4. Cause Of the Accident | 5. Name  of the authority issued FIR Copy | 6. Authority issued FIR Copy  Date | 7. Name of the authority issued disability certificate | a) Percentage of disability | 8. Bank Account No. | a) Name of the bank | b) Name of the branch | c) IFSC Code | Regn card under BOCW Act(Attested copy) | Renewal Challan Copy | Advanced stamped receipt | 1st page of  Bank Pass Book(Attested Copy) | Disability certificate | Enquiry Report of ALO | Copy of house hold card | Copy of aadhar card | Application of the beneficiary | FIR Copy | Applicant Mobile No. | Beneficiary Aadhar ID | Worker Aadhar ID
2,3,26% to 49% Partial Permanent Disability,Alo Circle No | Renewed Up to | Challan No. Date | Amount | 1. Name of the Construction worker(Applicant) | 2. Date Of Accident | 3. Place & address of the accident | State | District | 4. Cause Of the Accident | 5. Name  of the authority issued FIR Copy | 6. Authority issued FIR Copy  Date | 7. Name of the authority issued disability certificate | a) Percentage of disability | 8. Bank Account No. | a) Name of the bank | b) Name of the branch | c) IFSC Code | Regn card under BOCW Act(Attested copy) | Renewal Challan Copy | Advanced stamped receipt | 1st page of  Bank Pass Book(Attested Copy) | Disability certificate | Enquiry Report of ALO | Copy of house hold card | Copy of aadhar card | Application of the beneficiary | FIR Copy | Applicant Mobile No. | Beneficiary Aadhar ID | Worker Aadhar ID
2,4,Up to 25% Partial Permanent Disability,Name of the Construction worker | Date Of Accident | Place & address of the accident | Cause Of the Accident | Name  of the authority issued FIR Copy | Authority issued FIR Copy  Date | Name  of the authority issued disability certificate | Applicant Mobile No. | Beneficiary Aadhar ID | Worker Aadhar ID
3,1,Natural Death,Alo Circle No | Renewed Up to | Challan No. Date | Amount | 1. Name of the deceased Construction Worker | a) Date Of death | b) Place Of death | State | District | 2. Name of the authority issued the death certificate | 3. Name of the person applied for the benefit of the scheme | a) Age | b) Address | c) Phone No | 4 .Relationship with the deceased worker | 5. Bank Account No. | a) Name of the bank | b) Name of the branch | c) IFSC Code | Regn card under BOCW Act(Original copy) | Renewal Challan Copy | Advanced stamped receipt | 1st page of  Bank Pass Book(Attested Copy) | Death Certificate | Enquiry Report of ALO | Copy of house hold card | Form No. XXVII original | Aadhar Card Xerox | Nominee Details | Application of the beneficiary | Funeral Application | Beneficiary Aadhar ID | Worker Aadhar ID
4,1,1st Maternity benefit for wife or self,Alo Circle No | Renewed Up to | Challan No. Date | Amount | 1. Name of the Person(Daughter/wife/self) | 2. Name of the authority issueed the birth certificate | 3. Name of the hospital and address | State | District | 4. Whether one year of registration completed | 5. Date of Delivery | 6. Age | 7. Bank Account No. | a) Name of the bank | b) Name of the branch | c) IFSC Code | Regn card under BOCW Act(Attested copy) | Renewal Challan Copy | Advanced stamped receipt | 1st page of  Bank Pass Book(Attested Copy) | Delivery certificate issued by the Hospital(Attestesd Copy) | Birth certificate of the child | Enquiry Report of ALO | Copy of Discharge Summary | Application of the beneficiary | Aadhar Card Xerox | House Hold Card Xerox | Others | Applicant Mobile No. | Beneficiary Aadhar ID | Worker Aadhar ID
4,2,2nd  Maternity benefit for wife or self,Alo Circle No | Renewed Up to | Challan No. Date | Amount | 1. Name of the Person(Daughter/wife/self) | 2. Name of the authority issueed the birth certificate | 3. Name of the hospital and address | State | District | 4. Whether one year of registration completed | 5. Date of Delivery | 6. Age | 7. Bank Account No. | a) Name of the bank | b) Name of the branch | c) IFSC Code | Regn card under BOCW Act(Attested copy) | Renewal Challan Copy | Advanced stamped receipt | 1st page of  Bank Pass Book(Attested Copy) | Delivery certificate issued by the Hospital(Attestesd Copy) | Birth certificate of the child | Enquiry Report of ALO | Copy of Discharge Summary | Application of the beneficiary | Aadhar Card Xerox | House Hold Card Xerox | Others | Applicant Mobile No. | Beneficiary Aadhar ID | Worker Aadhar ID
4,3,1st Maternity Benefit for First Daughter,Alo Circle No | Renewed Up to | Challan No. Date | Amount | 1. Name of the Person(Daughter/wife/self) | 2. Name of the authority issueed the birth certificate | 3. Name of the hospital and address | State | District | 4. Whether one year of registration completed | 5. Date of Delivery | 6. Age | 7. Bank Account No. | a) Name of the bank | b) Name of the branch | c) IFSC Code | Regn card under BOCW Act(Attested copy) | Renewal Challan Copy | Advanced stamped receipt | 1st page of  Bank Pass Book(Attested Copy) | Delivery certificate issued by the Hospital(Attestesd Copy) | Birth certificate of the child | Enquiry Report of ALO | Copy of Discharge Summary | Application of the beneficiary | Aadhar Card Xerox | House Hold Card Xerox | Others | Applicant Mobile No. | Beneficiary Aadhar ID | Worker Aadhar ID
4,4,2nd  Maternity Benefit for First Daughter,Date of Delivery | Name of the authority issueed the birth certificate | Name of the hospital and address | Whether one year of registration completed | Beneficiary person Name | Age | Applicant Mobile No. | Beneficiary Aadhar ID | Worker Aadhar ID
